price,date
508.5899963379,2014-08-30T00:00:00.000Z
483.341003418,2014-09-06T00:00:00.000Z
479.5820007324,2014-09-12T00:00:00.000Z
424.1029968262,2014-09-19T00:00:00.000Z
423.1560058594,2014-09-25T00:00:00.000Z
383.9880065918,2014-10-02T00:00:00.000Z
336.1159973145,2014-10-08T00:00:00.000Z
400.9549865723,2014-10-15T00:00:00.000Z
382.4209899902,2014-10-21T00:00:00.000Z
353.2149963379,2014-10-28T00:00:00.000Z
325.5690002441,2014-11-03T00:00:00.000Z
345.3760070801,2014-11-09T00:00:00.000Z
374.7300109863,2014-11-16T00:00:00.000Z
351.6040039063,2014-11-22T00:00:00.000Z
376.1520080566,2014-11-29T00:00:00.000Z
369.441986084,2014-12-05T00:00:00.000Z
350.8330078125,2014-12-12T00:00:00.000Z
319.7850036621,2014-12-18T00:00:00.000Z
322.2860107422,2014-12-25T00:00:00.000Z
310.9140014648,2014-12-31T00:00:00.000Z
286.0769958496,2015-01-07T00:00:00.000Z
267.3940124512,2015-01-13T00:00:00.000Z
211.470993042,2015-01-19T00:00:00.000Z
254.078994751,2015-01-26T00:00:00.000Z
216.8670043945,2015-02-01T00:00:00.000Z
227.6929931641,2015-02-08T00:00:00.000Z
235.5279998779,2015-02-14T00:00:00.000Z
243.7519989014,2015-02-21T00:00:00.000Z
236.4360046387,2015-02-27T00:00:00.000Z
275.6000061035,2015-03-06T00:00:00.000Z
296.1270141602,2015-03-12T00:00:00.000Z
285.066986084,2015-03-18T00:00:00.000Z
247.4720001221,2015-03-25T00:00:00.000Z
247.453994751,2015-03-31T00:00:00.000Z
255.2740020752,2015-04-07T00:00:00.000Z
235.9499969482,2015-04-13T00:00:00.000Z
222.6119995117,2015-04-20T00:00:00.000Z
226.4100036621,2015-04-26T00:00:00.000Z
234.8800048828,2015-05-03T00:00:00.000Z
243.7689971924,2015-05-09T00:00:00.000Z
237.6439971924,2015-05-16T00:00:00.000Z
235.3209991455,2015-05-22T00:00:00.000Z
237.2570037842,2015-05-28T00:00:00.000Z
225.7720031738,2015-06-04T00:00:00.000Z
228.9949951172,2015-06-10T00:00:00.000Z
250.8229980469,2015-06-17T00:00:00.000Z
246.9270019531,2015-06-23T00:00:00.000Z
257.0360107422,2015-06-30T00:00:00.000Z
271.108001709,2015-07-06T00:00:00.000Z
310.8269958496,2015-07-13T00:00:00.000Z
274.766998291,2015-07-19T00:00:00.000Z
288.6400146484,2015-07-26T00:00:00.000Z
284.6860046387,2015-08-01T00:00:00.000Z
278.7409973145,2015-08-07T00:00:00.000Z
264.1319885254,2015-08-14T00:00:00.000Z
226.8990020752,2015-08-20T00:00:00.000Z
226.0500030518,2015-08-27T00:00:00.000Z
228.0269927979,2015-09-02T00:00:00.000Z
243.4149932861,2015-09-09T00:00:00.000Z
230.4920043945,2015-09-15T00:00:00.000Z
226.9689941406,2015-09-22T00:00:00.000Z
232.8359985352,2015-09-28T00:00:00.000Z
238.1470031738,2015-10-05T00:00:00.000Z
244.7420043945,2015-10-11T00:00:00.000Z
262.7470092773,2015-10-17T00:00:00.000Z
276.5039978027,2015-10-24T00:00:00.000Z
313.9429931641,2015-10-30T00:00:00.000Z
388.0469970703,2015-11-06T00:00:00.000Z
314.0790100098,2015-11-12T00:00:00.000Z
334.6789855957,2015-11-19T00:00:00.000Z
320.0450134277,2015-11-25T00:00:00.000Z
361.8450012207,2015-12-02T00:00:00.000Z
395.7539978027,2015-12-08T00:00:00.000Z
443.8779907227,2015-12-15T00:00:00.000Z
442.8380126953,2015-12-21T00:00:00.000Z
416.5140075684,2015-12-27T00:00:00.000Z
433.5780029297,2016-01-03T00:00:00.000Z
453.3829956055,2016-01-09T00:00:00.000Z
365.0729980469,2016-01-16T00:00:00.000Z
409.7510070801,2016-01-22T00:00:00.000Z
380.108001709,2016-01-29T00:00:00.000Z
370.1740112305,2016-02-04T00:00:00.000Z
382.1140136719,2016-02-11T00:00:00.000Z
407.6560058594,2016-02-17T00:00:00.000Z
438.2550048828,2016-02-23T00:00:00.000Z
437.9169921875,2016-03-01T00:00:00.000Z
407.7569885254,2016-03-07T00:00:00.000Z
414.2009887695,2016-03-14T00:00:00.000Z
410.4010009766,2016-03-20T00:00:00.000Z
418.1400146484,2016-03-27T00:00:00.000Z
418.4219970703,2016-04-02T00:00:00.000Z
420.8110046387,2016-04-09T00:00:00.000Z
424.4270019531,2016-04-15T00:00:00.000Z
449.6879882813,2016-04-22T00:00:00.000Z
445.0379943848,2016-04-28T00:00:00.000Z
